date_scraped,url,lat,lon,address,city,state,zip,price,beds,baths,half_baths,sq_ft,sqft_lot,acres_lot,status,price_sq_ft,on_realtor,type,built,style,description
03/31/2019,https://www.realtor.com/realestateandhomes-detail/5343-Richard-Ave_Dallas_TX_75206_M75173-33401,32.819497,-96.77794,5343 Richard Ave,Dallas,TX,75206.0,775000.0,3.0,3.0,,2656.0,8581.0,,Pending,292,79 days,Single Family Home,1913.0,Craftsman,"Charming Updated Historical Craftsman in Vickery Place!This bright and light property is off the charts with Historical Significance! Beautiful wrapped around front porch with dripping system for hanging plants. Stunning living room with fp. Grand dining room with Antique Chandelier. Guest bedroom down with full bath. Beautiful kitchen with island, granite countertops, pantry, double oven and gas cooktop.Bright breakfast area off the kitchen.Large Master bedroom with a bay window. Great master bathroom with the original tub. Study, utility room, bedroom and full bathroom all on the 2nd floor. Custom Cedar Pergola over the flagstone patio with builtin gas grill. This all looks over the beautiful backyard!"
03/31/2019,https://www.realtor.com/realestateandhomes-detail/9512-Teagarden-Rd_Dallas_TX_75217_M72620-26171,32.675851,-96.660604,9512 Teagarden Rd,Dallas,TX,75217.0,125000.0,2.0,,,672.0,6098.0,,Pending,186,41 days,Single Family Home,1930.0,,
03/31/2019,https://www.realtor.com/realestateandhomes-detail/Wiltshire_Gatherings-at-Mercer-Crossing_1735-Wittington-Pl_Farmers-Branch_TX_75234_P414549887832,32.915977000000005,-96.921187,1735 Wittington Place,Farmers Branch,TX,75234.0,350142.0,2.0,2.0,,2031.0,,,Active,172,31 days,condo/townhome/row home/co-op,,,"Blend the familiar feel of a single-family home with an easy-maintenance condo.. Vastly-sized walk-in closets, a generous office, formal dining room, and striking kitchen open to an immense living space provide room to relax or entertain in style. The luxe life is realized in the Wiltshire."
03/31/2019,https://www.realtor.com/realestateandhomes-detail/3212-E-Overton-Rd_Dallas_TX_75216_M80854-56363,32.716935,-96.771855,,,,,169900.0,3.0,2.0,,1390.0,9540.0,,Pending,122,78 days,Single Family Home,2019.0,Traditional,"Brand New Stone-Brick home for You! 3 bedroom, 2 full bath and Garage with Beautiful Ceramic floors throughout.Bedrooms have cozy carpet floors. Large back yard for the kids to play. Close to Schools, Parks, Shopping, and Quick access to Highways. Hurry on by before this one is Gone!! Down payment assistance is allowed."
03/31/2019,https://www.realtor.com/realestateandhomes-detail/Dallas_TX_75217_M78003-26413,32.746117,-96.652213,Dallas,TX 75217,,,110000.0,4.0,2.0,,1422.0,3223.0,,Active,77,47 days,Single Family Home,1982.0,Traditional,Great Starter home with 4 bedrooms; 2 full baths; central heat and air. Rear entry garage was converted as a bonus room or used as a 4th bedroom. Separate utility room. Fenced backyard.Motivated Sellers!
03/31/2019,https://www.realtor.com/realestateandhomes-detail/2823-Cain-Blvd_Dallas_TX_75211_M84206-19953,32.744781,-96.866339,2823 Cain Blvd,Dallas,TX,75211.0,364000.0,4.0,2.0,1.0,2112.0,7841.0,,Active,172,65 days,Single Family Home,1930.0,Spanish,"A two story Spanish Colonial with wood burning fireplace, front entry driveway and detached two car garage is waiting in Oak Cliff's Ravinia Heights addition for its new owner's to find it. This home built in 1930 has original hardwood floors, four bedrooms, two and one half bathrooms, office or computer room and laundry or utility area with sink. Unique classical architectural features on the exterior as well as the interior enhance its appeal. Great location approximately 5 miles from downtown Dallas on a quiet one block long street makes this property very attractive."
03/31/2019,https://www.realtor.com/realestateandhomes-detail/2524-Springhill-Dr_Dallas_TX_75228_M81454-60828,32.814159000000004,-96.696851,2524 Springhill Dr,Dallas,TX,75228.0,349999.0,3.0,2.0,,1886.0,,0.38,Active,186,86 days,Single Family Home,1960.0,"Ranch,Traditional","Come see this charming fully updated one story home in the popular Casa Linda area of Dallas. Just minutes from the Dallas Arboretum and White Rock Lake. 3 bedroom, 2 bath with 2 living areas situated on large treed .38 acre lot backing up to the creek. Home features refinished original hardwood floors, ceramic tile in kitchen and den. All new stainless steel appliances in updated eat in kitchen. Master and hall bath have been completely renovated. Home has fresh paint through out in popular repose gray. New roof and foundation work has been completed with transferable warranty. Fabulous curb appeal with all new landscaping, planter boxes and a new front door."
03/31/2019,https://www.realtor.com/realestateandhomes-detail/18043-Rock-Branch-Dr_Dallas_TX_75287_M83251-12417,32.996359000000005,-96.832072,18043 Rock Branch Dr,Dallas,TX,75287.0,769900.0,4.0,5.0,,4757.0,,0.23,Pending,162,57 days,Single Family Home,1994.0,"Contemporary,Modern","SOPHISTICATION + HOME AUTOMATION + LOCATION. Exquisite soft contemporary w gorgeous finish out. Exec style home w pool+spa perfect for fab entert & casually elegant lvg. Solid core drs thru out. 21' dramatic entry. Hdwds, plant shutters, 4 BRs (2 down, 2 up), 5 FULL baths (incl cabana), study, wet bar, FR, Media (all eqpt conveys), game rm. Open flr plan w extraordinary loggia views. Huge isl kitch w SS appl, dbl ovens, INDUCTION cktp, Butler's pnty, under & above cab ltg, 10 ft brkft bar. MBR w seamless shr encl, free stdg tub, 2 enor sep vanities + Flex rm (2nd study, nursery, exer rm next to MBR). Spectacular home automat syst, motorized & gated courtyard. $150k+ IN UPDATES"
03/31/2019,https://www.realtor.com/realestateandhomes-detail/4539-Lafayette-St_Dallas_TX_75204_M72981-32587,32.806434,-96.782606,4539 Lafayette St,Dallas,TX,75204.0,,2.0,2.0,1.0,1932.0,,,Sold,No Info,,Single Family Home,2018.0,,
03/31/2019,https://www.realtor.com/realestateandhomes-detail/4622-Gilbert-Ave_Dallas_TX_75219_M75384-22073,32.822933,-96.812286,4622 Gilbert Ave,Dallas,TX,75219.0,1049000.0,3.0,3.0,1.0,3143.0,3790.0,,Pending,334,47 days,Condo/Townhome/Row Home/Co-Op,2002.0,French,"Country French 2 story Boerder and Snyder designed free standing one owner single family home in elegant Hawthorne Court development The home features 3 bedroom, 3.1 baths, a 2 car attached garage with a fenced-in yard with a dog run. Enter in to open living and dining area with fireplace, 10 foot ceilings and dramatic floor to ceiling windows. The center island kitchen area has a walk-in pantry, and a large informal dining area. there is a spacious family room off the breakfast room and entry. Upstairs master suite with separate sitting area, large walk-in closets and a dramatic and spacious master bath. 10 foot ceilings throughout and pier and beam foundation. Beautifully maintained."
03/31/2019,https://www.realtor.com/realestateandhomes-detail/Dallas_TX_75216_M77848-38302,32.688196999999995,-96.80085799999999,Dallas,TX 75216,,,75000.0,4.0,2.0,,1000.0,7405.0,,Active,75,85 days,Single Family Home,1947.0,,Great investor home that needs TLC but would be the prime property for your investment portfolio...Property sold as-is with no repairs....
03/31/2019,https://www.realtor.com/realestateandhomes-detail/Dallas_TX_75211_M89683-52329,32.725086,-96.86136,Dallas,TX 75211,,,,3.0,,,1208.0,7593.0,,Sold,No Info,,Single Family Home,1950.0,,", - Very well maintained three bedroom home with original hardwood floors in the living and dining areas. The bedrooms are roomy and kitchen has lots of pretty cabinets with granite countertops. The backyard is cute and has a big storage building in the back for the lawn care tools and extra storage. Come see this home that is close to the Bishop Arts District and a short drive to Downtown Dallas!"
03/31/2019,https://www.realtor.com/realestateandhomes-detail/10598-High-Hollows-Dr-Apt-194_Dallas_TX_75230_M89140-77707,32.889352,-96.773545,10598 High Hollows Dr Apt 194,Dallas,TX,75230.0,,,,,885.0,,10.4,Sold,No Info,,Condo/Townhome/Row Home/Co-Op,1970.0,,
03/31/2019,https://www.realtor.com/realestateandhomes-detail/5309-Wenonah-Dr_Dallas_TX_75209_M70317-87212,32.841685,-96.820987,5309 Wenonah Dr Lot 10,Dallas,TX,75209.0,895000.0,,,,,,0.36,Active,,39 days,Land,1948.0,,Excellent opprtunity to build your dream home on a lush 80' x 179' lot in Greenway Parks. Plans included for a stunning contemporary home by Mark Siepiela.
03/31/2019,https://www.realtor.com/realestateandhomes-detail/Clifton_Gatherings-at-Mercer-Crossing_1735-Wittington-Pl_Farmers-Branch_TX_75234_P415639836731,32.915977000000005,-96.921187,1735 Wittington Place,Farmers Branch,TX,75234.0,306300.0,2.0,2.0,,1529.0,,,Active,200,30 days,condo/townhome/row home/co-op,,,"Bask in the comfort of a conservatively-sized floorplan with endless benefits.. Positioned on the interior of the building, youll save on utilities. With storage around every corner, the choice to downsize is easier; and in a home with less needs, the door to pursue your wants is wide open."
03/31/2019,https://www.realtor.com/realestateandhomes-detail/Dallas_TX_75215_M72791-40869,32.757898,-96.776005,Dallas,TX 75215,,,187000.0,4.0,2.0,,2252.0,6534.0,,Active,83,116 days,Single Family Home,1918.0,,"If a BIG home is what you are looking for then STOP THE CAR! This 4 bed and 2 bath has ample space for all of your needs. Great home for entertaining, gatherings or a large family. Come see today,"
03/31/2019,https://www.realtor.com/realestateandhomes-detail/2036-Echo-Lake-Dr_Dallas_TX_75253_M86781-69252,32.679299,-96.61286899999999,2036 Echo Lake Dr Lot 7,Dallas,TX,75253.0,,,0.0,,,7488.0,,Sold,No Info,,Land,1940.0,,", - Great opportunity to build your home in established neighborhood. Lot has been cleared as there was a houseon property that burned. Lot has access for all utilities (City water; sewer; electric and gas).No known easements."
03/31/2019,https://www.realtor.com/realestateandhomes-detail/10145-McCree-Rd_Dallas_TX_75238_M78044-66082,32.871922,-96.709401,10145 Mc Cree Rd,Dallas,TX,75238.0,,3.0,2.0,,1764.0,9161.0,,Sold,No Info,,Single Family Home,1957.0,,", - BEAUTIFUL 3 BEDROOM, 2 BATHROOM, HOME WITH HARDWOOD FLOORS AND TILE FLOORS IN THE LIVING AREAS. HOME FEATURES: WOOD BURNING FIREPLACE, BAY WINDOW IN THE LIVING ROOM, STAINLESS FRIG AND DISHWASHER, FULLY RENOVATED MASTER BATHROOM WITH WALK-IN GLASS SHOWER AND A DUAL-SINK VANITY. BACKYARD FEATURES A LARGE DECK, GRASSY AREA FOR DOGS, LANDSCAPING, BOARD ON BOARD PRIVACY FENCE, AUTOMATIC GATE ENTRY, AND DECORATIVE LIGHTING OVER BACK DECK AND IN SOFFIT OF THE FRONT OF THE HOME. OWNERS HAVE REPLACED THE WATER HEATER, THE AIR CONDITIONER, THE FURNACE, AND THE DUCT WORK. TWO CAR GARAGE. WASHER AND DRYER TO CONVEY. LAKE HIGHLANDS SCHOOLS IN RICHARDSON ISD."
03/31/2019,https://www.realtor.com/realestateandhomes-detail/Dallas_TX_75219_M86125-21182?ex=TX639402895,32.808079,-96.81534599999999,Dallas,TX 75219,,,549900.0,3.0,3.0,1.0,2461.0,,0.73,Active,223,142 days,Condo/Townhome/Row Home/Co-Op,1997.0,"Contemporary,Modern","Impeccable home! Quality through out with Updates. Two Bedrooms Up and one Down. Private patio opens to rear common area and access to gated basement garage with two parking spaces #27 and #28 as well as a large climate controlled storage closet #16. Washer, Dryer, refrigerator, and all TVs remain (less pictured LR TV) with the property. Easy to show!"
03/31/2019,https://www.realtor.com/realestateandhomes-detail/Dorset_Gatherings-at-Mercer-Crossing_1735-Wittington-Pl_Farmers-Branch_TX_75234_P415582648266,32.915977000000005,-96.921187,1735 Wittington Place,Farmers Branch,TX,75234.0,311812.0,2.0,2.0,,1702.0,,,Active,183,32 days,condo/townhome/row home/co-op,,,"Put your culinary skills to the test in an open kitchen with oversized island.. When you arent undertaking epicurean pursuits, the balcony with access from the master and living is an ideal place to unwind or serve your almost-famous hors doeuvres. Amuse, entertain, and live more in the Dorset."
03/31/2019,https://www.realtor.com/realestateandhomes-detail/2837-Simpson-Stuart-Rd_Dallas_TX_75241_M83437-59725,32.666964,-96.775374,2837 Simpson Stuart Rd Lot 2,Dallas,TX,75241.0,32000.0,,,,,5576.0,,Active,,54 days,Land,,,
03/31/2019,https://www.realtor.com/realestateandhomes-detail/18656-Gibbons-Dr_Dallas_TX_75287_M80139-43019,33.003758000000005,-96.831948,18656 Gibbons Dr,Dallas,TX,75287.0,2150.0,3.0,2.0,,1923.0,,,,,,Single Family Home,,,
03/31/2019,https://www.realtor.com/realestateandhomes-detail/3726-Hamilton-Ave_Dallas_TX_75210_M89069-39982,32.772461,-96.753452,3726 Hamilton Ave Lot 21,Dallas,TX,75210.0,,,0.0,,,8803.0,,Sold,No Info,,Land,1936.0,,
03/31/2019,https://www.realtor.com/realestateandhomes-detail/4144-Grassmere-Ln_Dallas_TX_75205_M82874-82647,32.849514,-96.806283,4144 Grassmere Ln,University Park,TX,75205.0,2500000.0,16.0,12.0,4.0,,7144.0,,Active,No Info,150 days,Multi-Family Home,2007.0,,"Newer Fourplex of 4 bed Townhome units. 4 bed Townhomes can no longer be built in Univ. Park. Walk to Highland Park High School. Units share features and layout, Size variance between end units and middle units. First floor 2 car Garage, Bedroom and Full Bath. 2nd floor has Central vacuum system, functional kitchen, dining, Bedroom, Bath and Living room, Hardwood Floors, Kitchen has granite countertops, Commercial Stainless appliances, double oven, 5 burner gas cooktop, microwave, Builtin wine cooler, Builtin fridge. Large living area with gas log fireplace. Private 3rd floor has Master Suite and 4th bedroom each have their own private full bathrooms. Central Location and HPISD make this a perfect choice."
03/31/2019,https://www.realtor.com/realestateandhomes-detail/5322-Miller-Ave_Dallas_TX_75206_M86675-20822,32.820996,-96.778924,5322 Miller Ave,Dallas,TX,75206.0,,3.0,2.0,,2034.0,8002.0,,Sold,No Info,,Single Family Home,2009.0,,", - If you are looking for that M-Street's Charmer without all the home headaches, then 5322 Miller Avenue is your place. Upon entry you find a bright, open living concept, framed by beautiful casement windows. Hand-scraped hardwood floors throughout and a modern kitchen with freshly painted white cabinets and Kitchen Aid Professional SS Appliances provides easy living and entertaining. Retire to your master suite - purposely secluded in the back for absolute privacy. Large master bathroom connected to custom walk-in closets. This Beauty is located on a deep lot (160 ft) and is walking distance to Greenville & Henderson's Restaurants and Shops."
03/31/2019,https://www.realtor.com/realestateandhomes-detail/5344-Emerson-Ave_Dallas_TX_75209_M72229-55720,32.846094,-96.819465,5344 Emerson Ave,Dallas,TX,75209.0,829000.0,3.0,3.0,,2475.0,9540.0,,Active,335,163 days,Single Family Home,1950.0,"Ranch,Traditional","Welcome to this charming updated home in coveted Greenway Crest. The floor plan has excellent flow and features new LED Lighting, hardwoods, designer colors, and three spacious bedrooms each with baths.  Guests will instantly feel at ease upon entering when greeted by the warming fireplace and generous formals.  The newly updated Kitchen is adjacent to the lovely Breakfast Area and features Quartz countertops, farm sink, Bosch dishwasher, and stainless appliances. The Den with walls of windows, retractable movie screen, and recessed surround sound speakers is the perfect refuge.
The light & bright Master Suite features a sitting area with views of the beautifully landscaped backyard. The refreshed Master Bath has dual vanities, separate shower & soaking tub, skylight, and a large walk-in closet. There are two additional spacious bedrooms each with baths providing options for family and guests. 
Don’t miss this fabulous opportunity to own a beautiful home with walkable access to Inwood Village shopping, restaurants, and the Landmark Theatre."
03/31/2019,https://www.realtor.com/realestateandhomes-detail/3715-Dorothy-Ave_Dallas_TX_75209_M75589-38579,32.829056,-96.8209,3715 Dorothy Ave,Dallas,TX,75209.0,484900.0,3.0,2.0,1.0,2250.0,3093.0,,Active,216,165 days,Single Family Home,2002.0,,"Beautiful West Highland Park with NO HOA! First floor boasts high ceilings, lots of natural light, stained concrete floors, gas fireplace, 2 car garage & much more! Kitchen includes granite island, wine fridge, gas range, & tons of storage. The backyard oasis in the heart of Dallas is a lovely retreat. Upstairs showcases master suite with dual vanities, huge shower & great storage in large walk-in closet. Off the master suite is a large balcony for morning coffees and relaxing. Two secondary bedrooms and 1 large bathroom are also adjoined on the second floor. Water Heater replaced in 2017. Walk to Whole Foods, Turtle Creek, Uptown and so much more! Truly special!24 NOTICE REQUIRED DAILY FOR SHOWINGS PLEASE"
03/31/2019,https://www.realtor.com/realestateandhomes-detail/2100-N-Fitzhugh-Ave-Apt-H_Dallas_TX_75204_M78533-82933,32.809887,-96.779993,2100 N Fitzhugh Ave Apt H,Dallas,TX,75204.0,339000.0,2.0,2.0,1.0,1394.0,,0.62,Pending,243,81 days,Condo/Townhome/Row Home/Co-Op,2007.0,,"MUST SEE! Beautiful home in desirable location. Hardwood floors all throughout, granite countertops, custom cabinetry, stainless appliances, jacuzzi tub and tile showers, this condo offers urban living with high end finishes. Convenient guest parking with attached 2 car garage and private patio. Located within minutes of shops and restaurants, Schedule your tour today!!"
03/31/2019,https://www.realtor.com/realestateandhomes-detail/4219-Ramona-Ave_Dallas_TX_75216_M77055-23782,32.693718,-96.803048,4219 Ramona Ave Lot 9,Dallas,TX,75216.0,25000.0,,,,,5227.0,,Active,,36 days,Land,1936.0,,
03/31/2019,https://www.realtor.com/realestateandhomes-detail/4111-Cole-Ave-Apt-14_Dallas_TX_75204_M84291-79165,32.804119,-96.788727,4111 Cole Ave Apt 14,Dallas,TX,75204.0,249000.0,2.0,2.0,,1034.0,,0.94,Active,241,192 days,Condo/Townhome/Row Home/Co-Op,1985.0,"Contemporary,Modern","Prime Location! You'll love this 2 BDRM, 2 BTH second-floor condo located in a secure, gated community next to Cole Park and only minutes from the Katy Trail, West Village and Knox Henderson. This contemporary, open-concept home features hardwood flooring, a wood burning fireplace with marble surround, and balcony. The kitchen boasts white cabinetry, Carrera marble countertops and stainless steel appliances. Both spacious bedrooms offer walk-in closets and ensuite bathrooms with Carrera marble vanities. Community amenities include a resort-style pool, grilling area, hot tub and covered parking. Don't miss the large storage room in the garage! Recently replaced roof and trash compactor. Washer & dryer included."
03/31/2019,https://www.realtor.com/realestateandhomes-detail/5117-Vickery-Blvd_Dallas_TX_75206_M72180-73820,32.822684,-96.783916,5117 Vickery Blvd,Dallas,TX,75206.0,649000.0,3.0,3.0,,2531.0,4269.0,,Active,256,176 days,Single Family Home,2006.0,,"Great opportunity to live in a single family attached home walking distance from Knox Henderson. This recently updated 3 bedrooms, 3 baths with an open floor plan provides a lock and leave lifestyle. Completely remodeled remarkable master bathroom features marble finishes, glass enclosed walk in shower with a garden tub, & a rainfall shower. Beautiful backyard with pool, hot tub, pergola, and covered patio is perfect for entertaining!"
03/31/2019,https://www.realtor.com/realestateandhomes-detail/6809-Bert-Ln_Dallas_TX_75240_M88464-01718,32.939021000000004,-96.78687,6809 Bert Ln,Dallas,TX,75240.0,948000.0,4.0,4.0,1.0,5234.0,,0.43,Active,181,163 days,Single Family Home,1978.0,"Contemporary,Modern","SIGNIFICANT PRICE REDUCTION! Steps from White Rock Creek Trail. This soft modern, located on large lot--pool, spa, outdoor entertaining area & views to all from indoors. Not only is it designed to live in & enjoy, it's perfect for entertaining. Well located main bar--but it doesn't stop there. Wine cooler, ice maker, second dishwasher at the bar for the outdoors & family room. Kitchen with high-end appliances, dbl ovens, gas cooktop, cabinets & storage for all. Master retreat with all the expected--plus mw & refrigerator---natural daylight from the private outdoor sitting area. En suite baths & walk-in closets for all 3 other bedrooms. Easy to convert back to five bedrooms if needed. Come see it soon."
03/31/2019,https://www.realtor.com/realestateandhomes-detail/223-W-Hobson-Ave_Dallas_TX_75224_M72565-44929,32.71530300000001,-96.825698,223 W Hobson Ave,Dallas,TX,75224.0,,3.0,,,1034.0,6011.0,,Sold,No Info,,Single Family Home,1942.0,,
03/31/2019,https://www.realtor.com/realestateandhomes-detail/5400-Edlen-Dr_Dallas_TX_75220_M73954-12352,32.878192,-96.815387,5400 Edlen Dr,Dallas,TX,75220.0,6945000.0,5.0,7.0,3.0,15530.0,,1.02,Active,447,192 days,Single Family Home,2018.0,,"Luxurious new construction on a premium, gated one acre lot. Light and bright with barrel vaulted corridors, floor to ceiling windows, five hand carved Limestone fireplaces and gorgeous finish throughout. Wonderful flow for entertaining with spacious formals, wine room and three incredible wet bars. Chef's kitchen with double islands opening to the family room, a man cave and an office. The second level boast a theater, exercise room (with back staircase to Master Suite), large game room and four additional bedrooms. Great outdoor living includes lush grassy space as well as multiple patios and outdoor fireplaces overlooking the pool with spa and water feature."
03/31/2019,https://www.realtor.com/realestateandhomes-detail/9919-Larchbrook-Dr_Dallas_TX_75238_M78786-79724,32.879769,-96.714073,9919 Larchbrook Dr,Dallas,TX,75238.0,468500.0,4.0,2.0,1.0,2158.0,7928.0,,Pending,217,108 days,Single Family Home,1962.0,"Ranch,Traditional","Amazing renovation on this 4 bedroom Lake Highlands home! Enter to a spacious open floor plan that is super flexible for any lifestyle. Awesome open kitchen with island, custom cabinetry, granite and the works. Upstairs 2nd living area is huge with a half bath and is an amazing space to relax with tree top views. Master has a walk in closet, barn door to en suite bath featuring double sinks and a good size shower. Nearly nothing was left untouched with updated windows, floors, baths, kitchen. Backyard features a pergola over the patio, new wood fence and a great shade tree. Two car rear entry garage and a two car carport allows tons of parking space. Beautiful drive up on this great home!"
03/31/2019,https://www.realtor.com/realestateandhomes-detail/4309-Bobbitt-Dr_Dallas_TX_75229_M80773-66505,32.897574,-96.835053,4309 Bobbitt Dr,Dallas,TX,75229.0,715000.0,4.0,3.0,,3150.0,,0.37,Active,227,213 days,Single Family Home,1964.0,Traditional,"This is the best opportunity on the market today! Substantial price reduction on this wonderful traditional home in prestigious Luna Park Estates close to the finest schools in Dallas. This property has been owned by only 2 families since 1965, and is ready for you to make it your dream home! House boasts spacious rooms, wood floors, vaulted ceiling in den, masonry fireplace, and fantastic traditional floor plan! The most spectacular trees in the neighborhood grace the lot, as well as completely fenced backyard with sliding gate, offering security for families with pets and children."
03/31/2019,https://www.realtor.com/realestateandhomes-detail/7522-Currin-Dr_Dallas_TX_75230_M84337-15522,32.899516,-96.777105,7522 Currin Dr Lot 3,Dallas,TX,75230.0,599900.0,,,,,,0.37,Active,,79 days,Land,1955.0,,Fabulous cleared north facing oversized corner lot near Preston Hollow. Close to Northaven Trail and Northaven Gardens! Build your dream home or Douglas Signature Homes will build for you. Plans and renderings have been done and are available upon request. Lovely tree lined street with gorgeous new construction and renovated homes.
03/31/2019,https://www.realtor.com/realestateandhomes-detail/2857-Shelby-Ave_Dallas_TX_75219_M89990-32958,32.808213,-96.811606,2857 Shelby Ave,Dallas,TX,75219.0,640900.0,3.0,3.0,1.0,2637.0,653.0,,Active,243,213 days,Condo/Townhome/Row Home/Co-Op,2019.0,,"Stop here because this home has it all including elevator capable. The Kitchen you've always wanted! Stunning White Cabinets with soft close drawers and Glass Cabinets to show off your Wine glasses or China. Plus Premium Miele appliances, Carrara Quartz countertops and a large island. Lots of windows to allow in natural light through out this home. And yes we listened this home is elevator capable. Enjoy a wrought iron fenced landscaped front yard and a 8 foot wood fence for a private side courtyard. Relax in your Master Suite with Elegant White Marble, jetted tub and a huge walk in shower. Many many more features along with new energy saving ECO HIP construction. And a great Oak Lawn location! Move in Ready."
03/31/2019,https://www.realtor.com/realestateandhomes-detail/5610-Stonegate-Rd_Dallas_TX_75209_M82535-84490,32.859511,-96.816979,5610 Stonegate Rd,Dallas,TX,75209.0,3995000.0,4.0,4.0,2.0,8549.0,,0.82,Pending,467,113 days,Single Family Home,2011.0,"Mediterranean,Spanish,Traditional","Stunning home by Paul Turney and Rusty Goff. Home is on .818 acre with 250 ft frontage. This home boasts 4 bedrooms, 4.2 baths, a huge gourmet kitchen with center island that opens to a family room, climate controlled wine room, home office, study, workout room, remote shades, Creston control system, and every other amenity imaginable! Outdoor living space offers an expansive covered porch with fireplace and grill leading to the one level guest house with living room, bedroom, kitchenette and its own porch and courtyard. Two story magnolia trees provide privacy as well as a stunning backdrop for the private pool, spa, large turfed yard and sport court. Home also features a generator and custom copper gutters."
